expenditureDate,expenditureAmount,voucherType,unitCount,averagePerUnit,notes
2024-01-31,5350000.00,tenant_based,2450,2183.67,"January 2024 HAP expenditure for tenant-based vouchers"
2024-01-31,2310000.00,project_based,1050,2200.00,"January 2024 HAP expenditure for project-based vouchers"
2024-01-31,682000.00,hud_vash,310,2200.00,"January 2024 HAP expenditure for HUD-VASH vouchers"
2024-01-31,572000.00,mainstream,260,2200.00,"January 2024 HAP expenditure for mainstream vouchers"
2024-01-31,440000.00,emergency_housing,200,2200.00,"January 2024 HAP expenditure for emergency housing vouchers"
2024-01-31,565400.00,mtw_flexible,257,2200.00,"January 2024 HAP expenditure for MTW flexible vouchers"
2024-02-29,5434000.00,tenant_based,2470,2200.00,"February 2024 HAP expenditure for tenant-based vouchers"
2024-02-29,2332000.00,project_based,1060,2200.00,"February 2024 HAP expenditure for project-based vouchers"
2024-02-29,693000.00,hud_vash,315,2200.00,"February 2024 HAP expenditure for HUD-VASH vouchers"
2024-02-29,583000.00,mainstream,265,2200.00,"February 2024 HAP expenditure for mainstream vouchers"
2024-02-29,451000.00,emergency_housing,205,2200.00,"February 2024 HAP expenditure for emergency housing vouchers"
2024-02-29,572000.00,mtw_flexible,260,2200.00,"February 2024 HAP expenditure for MTW flexible vouchers"
2024-03-31,5478000.00,tenant_based,2490,2200.00,"March 2024 HAP expenditure for tenant-based vouchers"
2024-03-31,2354000.00,project_based,1070,2200.00,"March 2024 HAP expenditure for project-based vouchers"
2024-03-31,704000.00,hud_vash,320,2200.00,"March 2024 HAP expenditure for HUD-VASH vouchers"
2024-03-31,594000.00,mainstream,270,2200.00,"March 2024 HAP expenditure for mainstream vouchers"
2024-03-31,462000.00,emergency_housing,210,2200.00,"March 2024 HAP expenditure for emergency housing vouchers"
2024-03-31,583000.00,mtw_flexible,265,2200.00,"March 2024 HAP expenditure for MTW flexible vouchers"
