reportingDate,voucherType,authorizedVouchers,leasedVouchers,utilizationRate,hapExpenses,averageHapPerUnit,budgetUtilization,notes
2024-01-15,tenant_based,2800,2450,87.50,5350000.00,2183.67,89.20,"January 2024 utilization data"
2024-01-15,project_based,1200,1050,87.50,2310000.00,2200.00,88.50,"Project-based vouchers for January"
2024-01-15,hud_vash,350,310,88.57,682000.00,2200.00,89.10,"HUD-VASH program for veterans"
2024-01-15,mainstream,300,260,86.67,572000.00,2200.00,87.30,"Mainstream vouchers for disabled individuals"
2024-01-15,emergency_housing,222,200,90.09,440000.00,2200.00,91.20,"Emergency Housing Vouchers from American Rescue Plan"
2024-01-15,mtw_flexible,331,257,77.64,565400.00,2200.00,78.90,"Moving to Work flexible vouchers"
2024-02-15,tenant_based,2800,2470,88.21,5434000.00,2200.00,90.10,"February 2024 utilization data"
2024-02-15,project_based,1200,1060,88.33,2332000.00,2200.00,89.20,"Project-based vouchers for February"
2024-02-15,hud_vash,350,315,90.00,693000.00,2200.00,90.50,"HUD-VASH program for veterans"
2024-02-15,mainstream,300,265,88.33,583000.00,2200.00,88.70,"Mainstream vouchers for disabled individuals"
2024-02-15,emergency_housing,222,205,92.34,451000.00,2200.00,93.10,"Emergency Housing Vouchers from American Rescue Plan"
2024-02-15,mtw_flexible,331,260,78.55,572000.00,2200.00,79.80,"Moving to Work flexible vouchers"
2024-03-15,tenant_based,2800,2490,88.93,5478000.00,2200.00,91.00,"March 2024 utilization data"
2024-03-15,project_based,1200,1070,89.17,2354000.00,2200.00,90.10,"Project-based vouchers for March"
2024-03-15,hud_vash,350,320,91.43,704000.00,2200.00,91.80,"HUD-VASH program for veterans"
2024-03-15,mainstream,300,270,90.00,594000.00,2200.00,90.20,"Mainstream vouchers for disabled individuals"
2024-03-15,emergency_housing,222,210,94.59,462000.00,2200.00,95.30,"Emergency Housing Vouchers from American Rescue Plan"
2024-03-15,mtw_flexible,331,265,80.06,583000.00,2200.00,81.30,"Moving to Work flexible vouchers"
